FISCAL_YEAR,CATEGORY,AGENCY,APPROPRIATED_FUND,COMPTROLLER_OBJECT,AMOUNT
2017,Operating Fund Transfers,Department of State Health Services,0273 - Gr Acct-Fed Health & Health Lab Funding,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,222,732 "
2017,Operating Fund Transfers,Department of State Health Services,0341 - Gr Acct-Food & Drug Retail Fees,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,400,783 "
2017,Operating Fund Transfers,Department of State Health Services,0512 - Gr Acct-Bureau Of Emergcy Mgt,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,513,477 "
2017,Operating Fund Transfers,Department of State Health Services,0524 - Gr Acct-Public Health Svcs Fee,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$329,905 "
2017,Operating Fund Transfers,Department of State Health Services,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,585 "
2017,Operating Fund Transfers,Department of State Health Services,5017 - Gr Acct-Asbestos Removal Licensure,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,226,034 "
2017,Operating Fund Transfers,Department of State Health Services,5020 - Gr Acct-Workplace Chemicals List,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$495,223 "
2017,Operating Fund Transfers,Department of State Health Services,5021 - Gr Acct-Cert Of Mammography Systems,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,277,070 "
2017,Operating Fund Transfers,Department of State Health Services,5022 - Gr Acct - Oysters Sales,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$527,146 "
2017,Operating Fund Transfers,Department of State Health Services,5024 - Gr Acct-Food & Drug Registration,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$19,355,887 "
2017,Operating Fund Transfers,Department of State Health Services,5044 - Gr Acct-Perm Fd Health/Tobacco Ed/Enforc,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,052,383 "
2017,Operating Fund Transfers,Department of State Health Services,5045 - Gr Acct-Perm Fd Children & Public Health,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$481,035 "
2017,Operating Fund Transfers,Department of State Health Services,5046 - Gr Acct-Perm Fd For Ems And Trauma Care,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$937,002 "
2017,Operating Fund Transfers,Department of State Health Services,5048 - Gr Acct-Perm Hosp Cptl Imp/Ctr Infec Dis,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,260 "
2017,Operating Fund Transfers,Department of State Health Services,5049 - Gr Acct-St Owned Multicat Teaching Hosp,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,500,000 "
2017,Operating Fund Transfers,Department of State Health Services,5096 - Gr Acct - Perpetual Care,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,000,000 "
2017,Operating Fund Transfers,Department of State Health Services,"5108 - Gr Acct - Ems, Trauma Fac, Trauma Sys",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,748,044 "
2017,Operating Fund Transfers,Department of State Health Services,5111 - Gr Acct - Trauma Facility & Ems,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$49,369,400 "
2017,Operating Fund Transfers,Department of State Health Services,5125 - Gr Acct - Childhood Immunization,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$105,539 "
2017,Operating Fund Transfers,Department of State Health Services,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,132,847 "
2017,Operating Fund Transfers,Department of State Health Services,7660 - Tpfa Go Cml Paper Ser2008 Dshs Prj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,754,520 "
2017,Operating Fund Transfers,District Courts-Comptroller's Judiciary Section,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,474,113 "
2017,Operating Fund Transfers,Employees Retirement System of Texas,"0945 - Def Compensation Trust Fd, Ers",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$901,363 "
2017,Operating Fund Transfers,General Land Office,0522 - Veterans Land Program Admin Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$469,021 "
2017,Operating Fund Transfers,Governor-Fiscal,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$12,469,153 "
2017,Operating Fund Transfers,Governor-Fiscal,0224 - Gr Acct-Governors Ofc Federal Proj,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$22,169,725 "
2017,Operating Fund Transfers,Governor-Fiscal,0421 - Gr Acct-Crim Justice Planning,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$29,170,034 "
2017,Operating Fund Transfers,Governor-Fiscal,0588 - Small Business Incubator Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,331,914 "
2017,Operating Fund Transfers,Governor-Fiscal,0589 - Texas Product Development Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,892,232 "
2017,Operating Fund Transfers,Governor-Fiscal,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$54,852 "
2017,Operating Fund Transfers,Governor-Fiscal,0806 - Spaceport Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$30,211,694 "
2017,Operating Fund Transfers,Governor-Fiscal,0830 - Events Trust Fd For Certain Muni/Countys,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,967,426 "
2017,Operating Fund Transfers,Governor-Fiscal,0869 - Major Events Reimbursement Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$42,177,051 "
2017,Operating Fund Transfers,Governor-Fiscal,5003 - Gr Acct-Hotel Occ Tax For Economic Devel,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$13,768,050 "
2017,Operating Fund Transfers,Governor-Fiscal,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,000,000 "
2017,Operating Fund Transfers,Governor-Fiscal,5012 - Gr Acct - Crime Stoppers Assistance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$845,529 "
2017,Operating Fund Transfers,Governor-Fiscal,5106 - Gr Acct - Economic Dev Bank,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,929,329 "
2017,Operating Fund Transfers,Governor-Fiscal,5107 - Gr Acct - Texas Enterprise,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$222,528,435 "
2017,Operating Fund Transfers,Governor-Fiscal,5114 - Gr Acct-Tx Military Value Revolving Loan,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$119,205 "
2017,Operating Fund Transfers,Governor-Fiscal,5124 - Gr Acct - Texas Emerging Technology,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,604,804 "
2017,Operating Fund Transfers,Governor-Fiscal,5149 - Gr Acct-Bp Oil Spill Tx Response Grant,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,753,540 "
2017,Operating Fund Transfers,Governor-Fiscal,5161 - Gr-Acct Governor'S Univ Research Initive,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$9,426,453 "
2017,Operating Fund Transfers,Governor-Fiscal,5164 - Gr Acct-Youth Diversion,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,141,894 "
2017,Operating Fund Transfers,Governor-Fiscal,7022 - Tpfa Go Ser2007a-1 Tmpc Int & Sink Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$108 
2017,Operating Fund Transfers,Health and Human Services Commission,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,444 "
2017,Operating Fund Transfers,Health and Human Services Commission,0107 - Gr Acct-Comprehensive Rehabilitation,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,560 "
2017,Operating Fund Transfers,Health and Human Services Commission,5109 - Gr Acct-Medicaid Recovery 42usc ?1396p,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,091,610 "
2017,Operating Fund Transfers,Parks and Wildlife Department,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$167,104 "
2017,Operating Fund Transfers,Parks and Wildlife Department,"0009 - Gr Account-Game, Fish, Water Safety",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$67,836,927 "
2017,Operating Fund Transfers,Parks and Wildlife Department,0064 - Gr Acct-State Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,637,372 "
2017,Operating Fund Transfers,Parks and Wildlife Department,0467 - Gr Acct-Tx Recreation & Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,522,154 "
2017,Operating Fund Transfers,Parks and Wildlife Department,0506 - Gr Acct-Non-Game/Endanger Spec,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$552,536 "
2017,Operating Fund Transfers,Parks and Wildlife Department,0544 - Gr Acct-Lifetime Lic Endowmt,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$23,986,296 "
2017,Operating Fund Transfers,Parks and Wildlife Department,0679 - Gr Acct-Artificial Reef,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,090,459 "
2017,Operating Fund Transfers,Parks and Wildlife Department,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$364,680 "
2017,Operating Fund Transfers,Parks and Wildlife Department,0885 - State Parks Endowment Trust Account,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$624,010 "
2017,Operating Fund Transfers,Parks and Wildlife Department,5023 - Gr Acct - Shrimp License Buy Back,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,133,673 "
2017,Operating Fund Transfers,Parks and Wildlife Department,5150 - Gr Acct-Large Count & Munic Rec & Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,458,538 "
2017,Operating Fund Transfers,Parks and Wildlife Department,5166 - Gr Acct-Deferred Maintenance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$47,833,894 "
2017,Operating Fund Transfers,Parks and Wildlife Department,7635 - Tpfa Go Coml Papr Ser2008 Tpwd Prj 1a Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$143,788 "
2017,Operating Fund Transfers,Parks and Wildlife Department,7647 - Tpfa Go Coml Papr Ser2008 Tpwd Prj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$670,443 "
2017,Operating Fund Transfers,Parks and Wildlife Department,7654 - Tpfa Go Cml Papr Ser2008 Tpwd Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$161,223 "
2017,Operating Fund Transfers,Parks and Wildlife Department,7659 - Tpfa Go Cml Papr Ser2008 Tpwd Proj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$494,828 "
2017,Operating Fund Transfers,Prairie View A&M University,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$35,819,049 "
2017,Operating Fund Transfers,Prairie View A&M University,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$70,320 "
2017,Operating Fund Transfers,State Preservation Board,0804 - Governor'S Mansion Renewal Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$790,878 "
2017,Operating Fund Transfers,State Preservation Board,0849 - Bob Bullock Tx St His Museum Local Tr Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$648,072 "
2017,Operating Fund Transfers,State Preservation Board,0854 - Capital Renewal Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,618,483 "
2017,Operating Fund Transfers,State Preservation Board,0879 - Capitol Local Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,744,786 "
2017,Operating Fund Transfers,State Preservation Board,0902 - State Cemetery Preservation Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,026,933 "
2017,Operating Fund Transfers,Texas A&M University (Main University),0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$108,913,487 "
2017,Operating Fund Transfers,Texas A&M University System,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$40,021,982 "
2017,Operating Fund Transfers,Texas A&M University System Health Science Center,0047 - Texas A&M Univ Available Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,938,855 "
2017,Operating Fund Transfers,Texas A&M University-Central Texas,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,774 "
2017,Operating Fund Transfers,Texas A&M University-Corpus Christi,0210 - Support Military/Veterans Exemption,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$268,877 "
2017,Operating Fund Transfers,Texas Commission on Environmental Quality,0088 - Gr-Acct Low-Level Radioactive Waste,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$17,001,000 "
2017,Operating Fund Transfers,Texas Commission on Environmental Quality,5020 - Gr Acct-Workplace Chemicals List,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,905,000 "
2017,Operating Fund Transfers,Texas Department of Criminal Justice,5060 - Gr Acct-Private Sector Prison Industries,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$903,827 "
2017,Operating Fund Transfers,Texas Department of Criminal Justice,5166 - Gr Acct-Deferred Maintenance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,731,319 "
2017,Operating Fund Transfers,Texas Department of Criminal Justice,7655 - Tpfa Go Cml Papr Ser2008 Tdcj Proj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$751,026 "
2017,Operating Fund Transfers,Texas Department of Public Safety,0453 - Gr Acct-Disaster Contingency,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,288,318 "
2017,Operating Fund Transfers,Texas Department of Public Safety,7209 - Tpfa Go Ser2008a Refndg Dps Project Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$85,582 "
2017,Operating Fund Transfers,Texas Department of Public Safety,7211 - Tpfa Go Series 2009b Dps Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$5 
2017,Operating Fund Transfers,Texas Department of Public Safety,7629 - Tpfa Go Coml Paper Ser2008 Dps Prj 1a Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$530,756 "
2017,Operating Fund Transfers,Texas Department of Public Safety,7648 - Tpfa Go Coml Papr Ser2008 Dps Proj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$357,660 "
2017,Operating Fund Transfers,Texas Department of Public Safety,7656 - Tpfa Go Cml Papr Ser2008 Dps Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,426,291 "
2017,Operating Fund Transfers,Texas Department of Transportation,0008 - State Highway Debt Service Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$150,668,990 "
2017,Operating Fund Transfers,Texas Department of Transportation,7604 - Tpfa Go Ser2002b Coml Pap Colonia Prj Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,320,365 "
